"HouseID","BurglaryStatus","Gate","Garage","Outdoor_sitting","Security_lights"
"H628",0,0,0,1,1
"H629",0,1,0,0,0
"H630",0,1,0,0,1
"H631",0,1,0,0,1
"H632",0,1,0,0,1
"H633",0,1,0,0,1
"H634",0,1,0,1,1
"H635",0,1,0,1,0
"H636",0,1,0,0,1
"H637",0,1,0,1,1
"H638",0,1,0,1,1
"H639",0,1,0,1,1
"H640",0,1,0,0,0
"H641",0,1,0,0,1
"H642",0,1,0,0,1
"H643",0,1,0,1,1
"H644",0,1,0,1,1
"H645",0,1,0,0,0
"H646",0,1,0,0,1
"H647",0,1,0,0,1
"H648",0,1,0,0,1
"H649",0,1,0,1,1
"H650",0,1,0,0,1
"H651",0,1,0,0,0
"H652",0,1,0,0,1
"H653",0,1,0,0,1
"H654",0,1,0,1,1
"H655",0,1,0,1,1
"H656",0,0,0,0,1
"H657",0,1,0,0,1
"H658",0,1,0,0,0
"H659",0,1,0,0,0
"H660",0,1,0,0,1
"H661",0,1,0,0,1
"H662",0,0,0,0,1
"H663",0,1,0,0,1
"H664",0,1,0,0,1
"H665",0,1,0,0,1
"H666",0,1,0,0,1
"H667",0,1,0,0,1
"H668",0,1,0,0,1
"H669",0,1,0,0,1
"H670",0,1,0,0,1
"H671",0,1,0,0,0
"H672",0,1,0,0,0
"H673",0,1,0,0,0
"H674",0,1,0,0,0
"H675",0,1,0,0,1
"H676",0,1,0,1,1
"H677",0,1,0,0,0
"H678",0,1,0,0,0
"H679",0,1,0,0,0
"H680",0,1,0,0,1
"H681",0,1,0,0,1
"H682",0,1,0,0,1
"H683",0,1,0,0,1
"H684",0,1,0,0,1
"H685",0,1,0,0,1
"H686",0,1,0,0,1
"H687",0,1,0,0,0
"H688",0,1,0,0,1
"H689",0,1,0,0,1
"H690",0,1,0,0,1
"H691",0,1,0,0,1
"H692",0,1,0,0,1
"H693",0,1,0,0,1
"H694",0,1,0,0,1
"H695",0,0,0,0,1
"H696",0,0,0,0,1
"H697",0,1,0,0,1
"H698",0,1,0,0,1
"H699",0,1,0,0,1
"H700",0,1,0,0,1
"H701",0,1,0,0,0
"H702",0,1,0,0,0
"H703",0,1,0,0,1
"H704",0,1,0,0,1
"H705",0,1,0,0,1
"H706",0,1,0,0,1
"H707",0,1,0,0,0
"H708",0,1,0,0,1
"H709",0,1,0,0,1
"H710",0,1,0,0,1
"H711",0,1,0,0,1
"H712",0,1,0,0,1
"H713",0,1,0,0,1
"H714",0,1,0,0,1
"H715",0,1,0,0,1
"H716",0,1,0,0,0
"H717",0,1,0,0,0
"H718",0,0,0,0,0
"H719",0,1,0,0,0
"H720",0,1,0,0,1
"H721",0,1,0,0,0
"H722",0,1,0,0,1
"H723",0,1,0,0,1
"H724",0,1,0,1,0
"H725",0,1,0,0,0
"H726",0,1,0,0,1
"H727",0,0,0,0,0
"H728",0,1,0,0,0
"H729",0,1,0,0,0
"H730",0,1,0,0,0
"H731",0,1,0,0,1
"H732",0,1,0,0,0
"H733",0,1,0,0,1
"H734",0,1,0,0,1
"H735",0,1,0,1,1
"H736",0,1,0,1,1
"H737",0,1,0,0,1
"H738",0,1,0,0,1
"H739",0,1,0,0,1
"H740",0,0,0,1,1
"H741",0,1,0,0,1
"H742",0,1,0,1,1
"H743",0,1,0,0,1
"H744",0,1,0,0,1
"H745",0,1,0,0,1
"H746",0,1,0,0,1
"H747",0,1,0,0,1
"H748",0,1,0,0,1
"H749",0,1,0,1,1
"H750",0,1,0,0,1
"H751",0,1,0,0,1
"H752",0,1,0,0,0
"H753",0,1,0,0,1
"H754",0,1,0,0,1
"H755",0,1,0,0,1
"H756",0,1,0,0,1
"H757",0,0,0,1,0
"H758",0,0,0,1,0
"H759",0,1,0,0,0
"H760",0,0,0,0,0
"H761",0,1,0,0,0
"H762",0,1,0,0,1
"H763",0,0,0,0,0
"H764",0,1,0,0,1
"H765",0,1,0,0,0
"H766",0,1,0,0,1
"H767",0,1,0,0,0
"H768",0,0,0,1,1
"H769",0,1,0,1,0
"H770",0,1,0,0,1
"H771",0,1,0,0,0
"H772",0,1,0,0,0
"H773",0,1,0,0,0
"H774",0,0,0,0,0
"H775",0,1,0,0,0
"H776",0,0,0,0,0
"H777",0,0,0,0,0
"H778",0,1,0,0,0
"H779",0,1,0,0,0
"H780",0,1,0,0,0
"H781",0,1,0,0,1
"H782",0,0,0,1,0
"H783",0,1,0,1,0
"H784",0,0,0,0,0
"H785",0,1,0,1,0
"H786",0,1,0,0,1
"H787",0,1,0,0,1
"H788",0,1,0,0,0
"H789",0,0,0,1,0
"H790",0,0,0,0,0
"H791",0,1,0,0,0
"H792",0,1,0,0,1
"H793",0,0,0,1,1
"H794",0,0,0,0,1
"H795",0,0,0,0,0
"H796",0,0,0,0,1
"H797",0,0,0,0,0
"H798",0,0,0,0,0
"H799",0,0,0,0,0
"H800",0,0,0,0,0
"H801",0,1,0,0,1
"H802",0,0,0,0,1
"H803",0,0,0,0,0
"H804",0,0,0,1,0
"H805",0,0,0,0,0
"H806",0,1,0,0,1
"H807",0,1,0,0,0
"H808",0,1,0,0,0
"H809",0,0,0,0,0
"H810",0,1,0,0,0
"H811",0,0,0,0,1
"H812",0,1,0,0,1
"H813",0,0,0,0,0
"H814",0,0,0,0,0
"H815",0,1,0,0,1
"H816",0,1,0,0,0
"H817",0,0,0,0,1
"H818",0,0,0,1,0
"H819",0,0,0,0,0
"H820",0,0,0,0,0
"H821",0,1,0,0,1
"H822",0,0,0,0,0
"H823",0,1,0,0,1
"H824",0,1,0,0,1
"H825",0,1,0,0,0
"H826",0,1,0,0,1
"H827",0,1,0,0,1
"H828",0,1,0,0,0
"H829",0,1,0,0,1
"H830",0,1,0,0,1
"H831",0,0,0,0,0
"H832",0,1,0,0,0
"H833",0,0,0,0,0
"H834",0,1,0,0,1
"H835",0,1,0,0,0
"H836",0,0,0,1,0
"H837",0,1,0,0,1
"H838",0,1,0,1,1
"H839",0,1,0,0,0
"H840",0,1,0,0,0
"H841",0,1,0,0,0
"H842",0,1,0,0,0
"H843",0,1,0,0,1
"H844",0,1,0,0,0
"H845",0,1,0,0,0
"H846",0,1,0,0,1
"H847",0,1,0,0,0
"H848",0,1,0,0,1
"H849",0,1,0,0,1
"H850",0,1,0,0,1
"H851",0,1,0,0,1
"H852",0,1,0,0,1
"H853",0,1,0,0,1
"H854",0,1,0,0,1
"H855",0,1,0,0,1
"H856",0,1,0,0,1
"H857",0,1,0,0,1
"H858",0,1,0,0,1
"H859",0,1,0,0,1
"H860",0,1,0,0,1
"H861",0,1,0,0,1
"H862",0,1,0,0,1
"H863",0,1,0,0,1
"H864",0,1,0,0,1
"H865",0,1,0,1,1
"H866",0,1,0,0,1
"H867",0,1,0,0,1
"H868",0,1,0,0,1
"H869",0,1,0,1,1
"H870",0,1,0,1,1
"H871",0,0,0,1,0
"H872",0,1,0,0,1
"H873",0,1,0,0,1
"H874",0,1,0,0,1
"H875",0,1,0,0,1
"H876",0,1,0,0,1
"H877",0,1,0,0,1
"H878",0,1,0,0,1
"H879",0,1,0,0,1
"H880",0,1,0,0,1
"H881",0,1,0,0,1
"H882",0,1,0,1,1
"H883",0,1,0,0,1
"H884",0,1,0,0,1
"H885",0,1,0,0,1
"H886",0,1,0,0,1
"H887",0,1,0,0,1
"H888",0,1,0,1,1
"H889",0,1,0,0,1
"H890",0,0,0,0,0
"H891",0,1,0,0,0
"H892",0,1,0,0,1
"H893",0,1,0,0,0
"H894",0,1,0,0,0
"H895",0,1,0,0,0
"H896",0,1,0,0,1
"H897",0,1,0,0,1
"H898",0,1,0,0,1
"H899",0,1,0,0,1
"H900",0,1,0,0,1
"H901",0,1,0,0,0
"H902",0,1,0,0,1
"H903",0,1,0,0,1
"H904",0,1,0,1,1
"H905",0,1,0,0,1
"H906",0,1,0,0,1
"H907",0,1,0,0,1
"H908",0,1,0,0,1
"H909",0,1,0,0,1
"H910",0,1,0,0,0
"H911",0,0,0,1,1
"H912",0,0,0,1,1
"H913",0,0,0,1,1
"H914",0,1,0,0,0
"H915",0,1,0,0,0
"H916",0,0,0,1,0
"H917",0,0,0,1,0
"H918",0,0,0,1,1
"H919",0,0,0,0,0
"H920",0,1,0,1,0
"H921",0,1,0,1,0
"H922",0,1,0,1,0
"H923",0,0,0,0,1
"H924",0,1,1,1,1
"H925",0,0,0,0,1
"H926",0,1,0,0,0
"H927",0,0,0,0,0
"H928",0,0,0,0,0
"H929",0,0,0,0,1
"H930",0,0,0,0,1
"H931",0,0,0,0,0
"H932",0,1,0,0,1
"H933",0,1,0,0,1
"H934",0,0,0,1,1
"H935",0,1,0,0,0
"H936",0,1,0,0,1
"H937",0,1,0,0,1
"H938",0,1,0,1,1
"H939",0,1,0,0,1
"H940",0,1,0,0,1
"H941",0,1,0,0,1
"H942",0,1,0,0,0
"H943",0,1,0,0,0
"H944",0,1,0,0,0
"H945",0,0,0,1,0
"H946",0,0,0,1,0
"H947",0,0,0,1,0
"H948",0,0,0,0,1
"H949",0,0,0,1,0
"H950",0,0,0,0,0
"H951",0,1,0,1,0
"H952",0,0,0,0,1
"H953",0,1,0,1,0
"H954",0,0,0,1,1
"H955",0,0,0,0,1
"H956",0,0,0,0,1
"H957",0,0,0,1,1
"H958",0,0,0,0,1
"H959",0,0,0,0,1
"H960",0,0,0,0,1
"H961",0,0,0,1,0
"H962",0,0,0,0,1
"H963",0,0,0,0,1
"H964",0,1,0,0,1
"H965",0,1,0,0,0
"H966",0,1,0,1,1
"H967",0,0,0,1,0
"H968",0,0,0,1,0
"H969",0,1,0,0,0
"H970",0,0,0,0,0
"H971",0,0,0,1,1
"H972",0,0,0,1,0
"H973",0,0,0,0,1
"H974",0,0,0,1,0
"H975",0,0,0,1,1
"H976",0,0,0,1,0
"H977",0,1,0,0,1
"H978",0,1,0,1,1
"H979",0,1,0,0,1
"H980",0,1,0,1,1
"H981",0,1,0,0,1
"H982",0,0,0,0,0
"H983",0,1,0,1,1
"H984",0,0,0,0,1
"H985",0,1,0,1,0
"H986",0,1,0,0,0
"H987",0,1,0,0,1
"H988",0,1,0,0,1
